Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Cano Delgadito orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Cao Bang orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Choclo orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Dabieshan orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Dobrava-Belgrade orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
El Moro Canyon orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Fugong orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Fusong orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Hantaan orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Imjin orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Jeju orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Kenkeme orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Khabarovsk orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Laguna Negra orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Laibin orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Longquan orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Luxi orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Maporal orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Montano orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Necocli orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Nova orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Oxbow orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Prospect Hill orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Puumala orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Quezon orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Rockport orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Sangassou orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Seoul orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Sin Nombre orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Thailand orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Thottapalayam orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Tula orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Yakeshi orthohantavirus;Orthohantavirus;Unassigned;Hantaviridae;Bunyavirales;ssRNA(-)
Jonchet orthojonvirus;Orthojonvirus;Unassigned;Jonviridae;Bunyavirales;ssRNA(-)
Burana orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Crimean-Congo hemorrhagic fever orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Dera Ghazi Khan orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Dugbe orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Hazara orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Hughes orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Kasokero orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Keterah orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Nairobi sheep disease orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Qalyub orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Sakhalin orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Thiafora orthonairovirus;Orthonairovirus;Unassigned;Nairoviridae;Bunyavirales;ssRNA(-)
Herbert herbevirus;Herbevirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Kibale herbevirus;Herbevirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Shuangao insect herbevirus 1;Herbevirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Tai herbevirus;Herbevirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Acara orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Akabane orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Alajuela orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Anopheles A orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Anopheles B orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Bakau orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Batama orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Benevides orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Bertioga orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Bimiti orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Botambi orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Bunyamwera orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Bushbush orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Bwamba orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
California encephalitis orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Capim orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Caraparu orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Catu orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Estero Real orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Gamboa orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Guajara orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Guama orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Guaroa orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Kaeng Khoi orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Kairi orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Koongol orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Madrid orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Main Drain orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Manzanilla orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Marituba orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Minatitlan orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
MPoko orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Nyando orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Olifantsvlei orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Oriboca orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Oropouche orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Patois orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Sathuperi orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Shamonda orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Shuni orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Simbu orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Tacaiuma orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Tete orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Thimiri orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Timboteua orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Turlock orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Wyeomyia orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Zegla orthobunyavirus;Orthobunyavirus;Unassigned;Peribunyaviridae;Bunyavirales;ssRNA(-)
Kigluaik phantom orthophasmavirus;Orthophasmavirus;Unassigned;Phasmaviridae;Bunyavirales;ssRNA(-)
Nome phantom orthophasmavirus;Orthophasmavirus;Unassigned;Phasmaviridae;Bunyavirales;ssRNA(-)
Shuangao insect orthophasmavirus 2;Orthophasmavirus;Unassigned;Phasmaviridae;Bunyavirales;ssRNA(-)
Wuchang cockroach orthophasmavirus 1;Orthophasmavirus;Unassigned;Phasmaviridae;Bunyavirales;ssRNA(-)
Wuhan mosquito orthophasmavirus 1;Orthophasmavirus;Unassigned;Phasmaviridae;Bunyavirales;ssRNA(-)
Wuhan mosquito orthophasmavirus 2;Orthophasmavirus;Unassigned;Phasmaviridae;Bunyavirales;ssRNA(-)
Cumuto goukovirus;Goukovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Gouleako goukovirus;Goukovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Yichang insect goukovirus;Goukovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Badu phasivirus;Phasivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Phasi Charoen-like phasivirus;Phasivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Wuhan fly phasivirus;Phasivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Wutai mosquito phasivirus;Phasivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Bujaru phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Candiru phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Chilibre phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Frijoles phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Punta Toro phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Rift Valley fever phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Salehabad phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Sandfly fever Naples phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
SFTS phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Uukuniemi phlebovirus;Phlebovirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(+/-)
Echinochloa hoja blanca tenuivirus;Tenuivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Iranian wheat stripe tenuivirus;Tenuivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Maize stripe tenuivirus;Tenuivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Rice grassy stunt tenuivirus;Tenuivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Rice hoja blanca tenuivirus;Tenuivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Rice stripe tenuivirus;Tenuivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Urochloa hoja blanca tenuivirus;Tenuivirus;Unassigned;Phenuiviridae;Bunyavirales;ssRNA(-)
Groundnut bud necrosis orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Groundnut ringspot orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Groundnut yellow spot orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Impatiens necrotic spot orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Iris yellow spot orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Polygonum ringspot orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Tomato chlorotic spot orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Tomato spotted wilt orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Watermelon bud necrosis orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Watermelon silver mottle orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Zucchini lethal chlorosis orthotospovirus;Orthotospovirus;Unassigned;Tospoviridae;Bunyavirales;ssRNA(+/-)
Campylobacter virus CP21;Cp220virus;Eucampyvirinae;Myoviridae;Caudovirales;dsDNA
Campylobacter virus CP220;Cp220virus;Eucampyvirinae;Myoviridae;Caudovirales;dsDNA
Campylobacter virus CPt10;Cp220virus;Eucampyvirinae;Myoviridae;Caudovirales;dsDNA
Campylobacter virus IBB35;Cp220virus;Eucampyvirinae;Myoviridae;Caudovirales;dsDNA
Campylobacter virus CP81;Cp8virus;Eucampyvirinae;Myoviridae;Caudovirales;dsDNA
Campylobacter virus CP30A;Cp8virus;Eucampyvirinae;Myoviridae;Caudovirales;dsDNA
Campylobacter virus CPX;Cp8virus;Eucampyvirinae;Myoviridae;Caudovirales;dsDNA
Campylobacter virus NCTC12673;Cp8virus;Eucampyvirinae;Myoviridae;Caudovirales;dsDNA
Erwinia virus Ea214;Ea214virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Erwinia virus M7;Ea214virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus AYO145A;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus EC6;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus HY02;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus JH2;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus TP1;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus VpaE1;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus wV8;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus FelixO1;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus HB2014;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus Mushroom;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus UAB87;Felixo1virus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Citrobacter virus Moogle;Mooglevirus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Citrobacter virus Mordin;Mooglevirus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus SUSP1;Suspvirus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus SUSP2;Suspvirus;Ounavirinae;Myoviridae;Caudovirales;dsDNA
Aeromonas virus phiO18P;Hp1virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Haemophilus virus HP1;Hp1virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Haemophilus virus HP2;Hp1virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Pasteurella virus F108;Hp1virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Vibrio virus K139;Hp1virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Vibrio virus Kappa;Hp1virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Burkholderia virus phi52237;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Burkholderia virus phiE122;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Burkholderia virus phiE202;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus 186;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus P2;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus Wphi;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Mannheimia virus PHL101;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Pseudomonas virus phiCTX;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Ralstonia virus RSA1;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus Fels2;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus PsP3;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus SopEphi;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Yersinia virus L413C;P2virus;Peduovirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus G1;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus G15;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus JD7;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus K;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus MCE2014;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus P108;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus Rodi;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus S253;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus S25-4;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus SA12;Kayvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Listeria virus A511;P100virus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Listeria virus P100;P100virus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus Remus;Silviavirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus SA11;Silviavirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus Stau2;Silviavirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Bacillus virus Camphawk;Spo1virus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Bacillus virus SPO1;Spo1virus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Bacillus virus BCP78;Tsarbombavirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Bacillus virus TsarBomba;Tsarbombavirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Staphylococcus virus Twort;Twortvirus;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Enterococcus virus phiEC24C;Unassigned;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Lactobacillus virus Lb338-1;Unassigned;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Lactobacillus virus LP65;Unassigned;Spounavirinae;Myoviridae;Caudovirales;dsDNA
Enterobacter virus PG7;Cc31virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus CC31;Cc31virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Klebsiella virus JD18;Jd18virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Klebsiella virus PKO111;Jd18virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus Bp7;Js98virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus IME08;Js98virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus JS10;Js98virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus JS98;Js98virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus QL01;Js98virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus VR5;Js98virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Enterobacter virus Eap3;Kp15virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Klebsiella virus KP15;Kp15virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Klebsiella virus KP27;Kp15virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Klebsiella virus Matisse;Kp15virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Klebsiella virus Miro;Kp15virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Citrobacter virus Merlin;Moonvirus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Citrobacter virus Moon;Moonvirus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus JSE;Rb49virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus phi1;Rb49virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus RB49;Rb49virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus HX01;Rb69virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus JS09;Rb69virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus RB69;Rb69virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Shigella virus UTAM;Rb69virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus S16;S16virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus STML198;S16virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Vibrio virus KVP40;Schizot4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Vibrio virus nt1;Schizot4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Vibrio virus ValKK3;Schizot4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus VR7;Sp18virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus VR20;Sp18virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus VR25;Sp18virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus VR26;Sp18virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Shigella virus SP18;Sp18virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus AR1;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus C40;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus E112;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus ECML134;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus HY01;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus Ime09;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus RB3;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus RB14;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus T4;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Shigella virus Pss1;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Shigella virus Shfl2;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Yersinia virus D1;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Yersinia virus PST;T4virus;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Acinetobacter virus 133;Unassigned;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Aeromonas virus 65;Unassigned;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Aeromonas virus Aeh1;Unassigned;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus RB16;Unassigned;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus RB32;Unassigned;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus RB43;Unassigned;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Pseudomonas virus 42;Unassigned;Tevenvirinae;Myoviridae;Caudovirales;dsDNA
Cronobacter virus CR3;Cr3virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Cronobacter virus CR8;Cr3virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Cronobacter virus CR9;Cr3virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Cronobacter virus PBES02;Cr3virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Pectobacterium virus phiTE;Cr3virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Cronobacter virus GAP31;Se1virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus 4MG;Se1virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus SE1;Se1virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Salmonella virus SSE121;Se1virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus FFH2;V5virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
Escherichia virus FV3;V5virus;Vequintavirinae;Myoviridae;Caudovirales;dsDNA
